,content
10,"Ôi zời.. ảnh đi ảnh về rồi giờ này mới phát hiện.. 🙁🙁

Ôi zời.. ảnh đi ảnh về rồi giờ này mới phát hiện.. 🙁🙁

CANHCO.NET
1 bệnh nhân Covid-19 từng đi đến Sóc Trăng, Cần Thơ
Người này từng đến thị xã Vĩnh Châu (Sóc Trăng) và lưu lại lại nhiều ngày, sau đó về Hà Nội bị sốt, đau họng, xét nghiệm cho kết quả dương tính COVID-19.

CANHCO.NET
1 bệnh nhân Covid-19 từng đi đến Sóc Trăng, Cần Thơ"
11,"Ngày đầu lập chốt quanh Tp Bắc Ninh. Lịch sử chưa bao giờ có😓
Vì 1 cuộc sống bình an. Hỡi đồng bào ai ở đâu ở yên đó ạ.

Ngày đầu lập chốt quanh Tp Bắc Ninh. Lịch sử chưa bao giờ có😓

Vì 1 cuộc sống bình an. Hỡi đồng bào ai ở đâu ở yên đó ạ.

+23"
12,"26-5, BV Xuyên Á TPHCM đã tiếp nhận bệnh nhi HP, 8 tuổi ngụ địa phương, được gia đình đưa đến trong tình trạng ho sặc, khó thở do xem phim thấy ảo thuật gia ngậm đồng xu hô biến. Bé bắt chước ngậm rồi nuốt bị… More ho dữ dội đến khó thở.
Chụp X-quang dị vật to tròn nằm chặn đầu thực quản, gần đường thở. BV tiến hành gây mê, phẫu thuật nội soi gắp dị vật ra ngoài, rất may mới tổn thương nhẹ thực quản và niêm mạc

26-5, BV Xuyên Á TPHCM đã tiếp nhận bệnh nhi HP, 8 tuổi ngụ địa phương, được gia đình đưa đến trong tình trạng ho sặc, khó thở do xem phim thấy ảo thuật gia ngậm đồng xu hô biến. Bé bắt chước ngậm rồi nuốt bị ho dữ dội đến khó thở.

Chụp X-quang dị vật to tròn nằm chặn đầu thực quản, gần đường thở. BV tiến hành gây mê, phẫu thuật nội soi gắp dị vật ra ngoài, rất may mới tổn thương nhẹ thực quản và niêm mạc

"
13,"CNBC: Việt Nam là thị trường hàng đầu thu hút các chuyên gia đầu tư thế giới
Trang CNBC vừa có bài phỏng vấn với giám đốc điều hành tập đoàn Javelin Wealth Management , ông Stephen Davies về việc đánh giá thị… More trường tiềm năng mà giới chuyên gia kinh tế cũng như các tập đoàn hàng đầu lựa chọn để đầu tư.
Theo đó, ông Stephan Davies cho biết thị trường châu Á đang là lựa chọn tốt hơn so với thị trường Mỹ. Ông cũng cho rằng, trọng tâm đầu tư sẽ chuyển sang các nền kinh tế định hướng xuất khẩu, khi các nước phát triển phục hồi sau đại dịch.
Trả lời phóng viên CNBC, ông Stephen Davies nói: “Quan điểm đầu tư vẫn giữ nguyên như những năm qua. Nếu bạn có thể đề xuất được mảng kinh doanh nào mang lại… More

CNBC: Việt Nam là thị trường hàng đầu thu hút các chuyên gia đầu tư thế giới

Trang CNBC vừa có bài phỏng vấn với giám đốc điều hành tập đoàn Javelin Wealth Management , ông Stephen Davies về việc đánh giá thị trường tiềm năng mà giới chuyên gia kinh tế cũng như các tập đoàn hàng đầu lựa chọn để đầu tư.

Theo đó, ông Stephan Davies cho biết thị trường châu Á đang là lựa chọn tốt hơn so với thị trường Mỹ. Ông cũng cho rằng, trọng tâm đầu tư sẽ chuyển sang các nền kinh tế định hướng xuất khẩu, khi các nước phát triển phục hồi sau đại dịch.

Trả lời phóng viên CNBC, ông Stephen Davies nói: “Quan điểm đầu tư vẫn giữ nguyên như những năm qua. Nếu bạn có thể đề xuất được mảng kinh doanh nào mang lại…

Play Video"
14,"Thông tin chính thức từ Sở Y tế TP.HCM: 🙁🙁

Thông tin chính thức từ Sở Y tế TP.HCM: 🙁🙁

CANHCO.NET
NÓNG: Một người dương tính nCov làm việc ở Phú Nhuận, TP.HCM
Tối 26-5, thông tin từ Sở Y tế TP.HCM cho biết thành phố ghi nhận thêm 1 ca dương tính COVID-19. Người này ngụ Hóc Môn và làm việc ở quận Phú Nhuận. Theo

CANHCO.NET
NÓNG: Một người dương tính nCov làm việc ở Phú Nhuận, TP.HCM"
15,"Quyết định kéo dài thời gian cách ly Bệnh viện Bệnh Nhiệt đới trung ương cơ sở 2 đến 9/6. 100% y bác sĩ tiếp tục trực chiến!
Dù đã hết thời gian thực hiện cách ly y tế 21 ngày, nhưng để bảo đảm công tác chăm… More sóc và điều trị bệnh nhân đang điều trị tại đây, hạn chế tối đa sự lây lan dịch COVID-19 từ cộng đồng vào bệnh viện, Giám đốc Bệnh viện Bệnh Nhiệt đới trung ương ban hành quyết định tiếp tục áp dụng biện pháp cách ly y tế tại cơ sở 2 trong thời gian từ 8h ngày 26/5 đến 8h ngày 9/6.
Như vậy, tất cả cán bộ và nhân viên phục vụ công tác điều trị, chăm sóc bệnh nhân mắc COVID-19 tại Bệnh viện tiếp tục ở lại viện thực hiện nhiệm vụ khám, điều trị bệnh nhân.
Trước đó, ngay sau khi phát hiện… More

Quyết định kéo dài thời gian cách ly Bệnh viện Bệnh Nhiệt đới trung ương cơ sở 2 đến 9/6. 100% y bác sĩ tiếp tục trực chiến!

Dù đã hết thời gian thực hiện cách ly y tế 21 ngày, nhưng để bảo đảm công tác chăm sóc và điều trị bệnh nhân đang điều trị tại đây, hạn chế tối đa sự lây lan dịch COVID-19 từ cộng đồng vào bệnh viện, Giám đốc Bệnh viện Bệnh Nhiệt đới trung ương ban hành quyết định tiếp tục áp dụng biện pháp cách ly y tế tại cơ sở 2 trong thời gian từ 8h ngày 26/5 đến 8h ngày 9/6.

Như vậy, tất cả cán bộ và nhân viên phục vụ công tác điều trị, chăm sóc bệnh nhân mắc COVID-19 tại Bệnh viện tiếp tục ở lại viện thực hiện nhiệm vụ khám, điều trị bệnh nhân.

Trước đó, ngay sau khi phát hiện…

"
16,"

Quê hương tôi
Today at 3:14 AM ·
Phó thủ tướng Vũ Đức Đam nghẹn giọng khi nói về sự vất vả của lực lượng tuyến đầu chống dịch
Chia sẻ về mục đích của việc khoanh vùng cách ly, Phó Thủ tướng nghẹn ngào khi nhắc tới những chiến binh trên tuyến… More đầu, phải khoác lên mình bộ đồ phòng hộ giữa thời tiết nắng nóng, không ăn, không ngủ để chống dịch, giúp người dân giảm thiểu tối đa thiệt hại về kinh tế.
This content isn't available right now
When this happens, it's usually because the owner only shared it with a small group of people, changed who can see it or it's been deleted.

Quê hương tôi
Today at 3:14 AM ·

Phó thủ tướng Vũ Đức Đam nghẹn giọng khi nói về sự vất vả của lực lượng tuyến đầu chống dịch
Chia sẻ về mục đích của việc khoanh vùng cách ly, Phó Thủ tướng nghẹn ngào khi nhắc tới những chiến binh trên tuyến… More đầu, phải khoác lên mình bộ đồ phòng hộ giữa thời tiết nắng nóng, không ăn, không ngủ để chống dịch, giúp người dân giảm thiểu tối đa thiệt hại về kinh tế.

Phó thủ tướng Vũ Đức Đam nghẹn giọng khi nói về sự vất vả của lực lượng tuyến đầu chống dịch

Chia sẻ về mục đích của việc khoanh vùng cách ly, Phó Thủ tướng nghẹn ngào khi nhắc tới những chiến binh trên tuyến đầu, phải khoác lên mình bộ đồ phòng hộ giữa thời tiết nắng nóng, không ăn, không ngủ để chống dịch, giúp người dân giảm thiểu tối đa thiệt hại về kinh tế.

This content isn't available right now
When this happens, it's usually because the owner only shared it with a small group of people, changed who can see it or it's been deleted."
17,"Chiều nay 26/5, nghệ sĩ Quyền Linh đã đi xe máy đến Bệnh viện Chợ Rẫy trao 2 tỷ đồng nhờ các bác sĩ nơi đây là đơn vị đầu ngành chuyển số tiền này ra điểm nóng đang phải đối diện với Covid-19 là Bắc Giang và… More Bệnh viện K Hà Nội.
Anh chia sẻ ""Không chỉ mình tôi mà còn nhiều bà con trên cả nước đang hướng về Bắc Giang với mong muốn chia sẻ những khó khăn của những ai trong vùng dịch. Tôi vô cùng xúc động trước những hy sinh âm thầm của các y bác sĩ đầu ngành đã ngày đêm chống dịch để đem đến bình an cho mọi nhà""
Trong tình hình nóng như hiện nay, anh em chúng tôi đã bàn bạc và quyết định cùng nhau đóng góp số tiền này để ủng hộ tinh thần cho các y bác sĩ…. Và hy vọng thời gian tới tôi cùng với nhiều anh em nữa sẽ trực tiếp ra những điểm nóng để ủng hộ tinh thần cho những người đang ngày đêm ở tuyến đầu chống dịch...''.
Đấy cứ làm ngay như vậy và xin lỗi chân thành như mấy ngày qua thì lại đáng yêu thôi Quyền Linh nhỉ?
Nguồn: Lữ Đắc Long

Chiều nay 26/5, nghệ sĩ Quyền Linh đã đi xe máy đến Bệnh viện Chợ Rẫy trao 2 tỷ đồng nhờ các bác sĩ nơi đây là đơn vị đầu ngành chuyển số tiền này ra điểm nóng đang phải đối diện với Covid-19 là Bắc Giang và Bệnh viện K Hà Nội.

Anh chia sẻ ""Không chỉ mình tôi mà còn nhiều bà con trên cả nước đang hướng về Bắc Giang với mong muốn chia sẻ những khó khăn của những ai trong vùng dịch. Tôi vô cùng xúc động trước những hy sinh âm thầm của các y bác sĩ đầu ngành đã ngày đêm chống dịch để đem đến bình an cho mọi nhà""

Trong tình hình nóng như hiện nay, anh em chúng tôi đã bàn bạc và quyết định cùng nhau đóng góp số tiền này để ủng hộ tinh thần cho các y bác sĩ…. Và hy vọng thời gian tới tôi cùng với nhiều anh em nữa sẽ trực tiếp ra những điểm nóng để ủng hộ tinh thần cho những người đang ngày đêm ở tuyến đầu chống dịch...''.

Đấy cứ làm ngay như vậy và xin lỗi chân thành như mấy ngày qua thì lại đáng yêu thôi Quyền Linh nhỉ?

Nguồn: Lữ Đắc Long

+2"
18,"Chiều 26/5, theo Tiểu ban Điều trị, Ban Chỉ đạo Quốc gia phòng, chống dịch Covid-19, ca tử vong thứ 45 tại Việt Nam. Xin chia buồn cùng gia đình 🙏

Chiều 26/5, theo Tiểu ban Điều trị, Ban Chỉ đạo Quốc gia phòng, chống dịch Covid-19, ca tử vong thứ 45 tại Việt Nam. Xin chia buồn cùng gia đình 🙏

CANHCO.NET
Bệnh nhân Covid-19 thứ 45 tử vong
Trước khi được xác định mắc Covid-19, nữ bệnh nhân 67 tuổi bị tăng huyết áp, suy giáp, đái tháo đường, thể trạng béo phì. Chiều 26/5, theo Tiểu ban

CANHCO.NET
Bệnh nhân Covid-19 thứ 45 tử vong"
19,"Lại thêm một thông tin gây sốc cho khán giả hâm mô... Hy vọng mọi việc sẽ được làm sáng tỏ

Lại thêm một thông tin gây sốc cho khán giả hâm mô... Hy vọng mọi việc sẽ được làm sáng tỏ

CANHCO.NET
Hé lộ bản tường trình phẫu thuật của Hoài Linh sai lệch với thông tin công bố trước đó
Xung quanh việc NSƯT Hoài Linh công bố thông tin nhập viện mổ u tuyến giáp vào ngày 15/10/2020, và xạ trị vào ngày 13/4 thì mới đây cộng đồng mạng đã tìm

CANHCO.NET
Hé lộ bản tường trình phẫu thuật của Hoài Linh sai lệch với thông tin công bố trước đó"
20,"Chúc mừng ""Làng dân chủ"" VN có thêm thành viên lưu vong mới

Chúc mừng ""Làng dân chủ"" VN có thêm thành viên lưu vong mới

CANHCO.NET
Nhà “dân chủ” lưu vong Campuchia biết gì mà chê bầu cử Việt Nam “ngột ngạt”?
Ngày 23/5, dù trong bối cảnh dịch đại dịch Covid-19, cuộc bầu cử tại Việt Nam đã diễn ra trong một hoàn tất. Thế nhưng, trong khi đất nước Việt Nam đang

CANHCO.NET
Nhà “dân chủ” lưu vong Campuchia biết gì mà chê bầu cử Việt Nam “ngột ngạt”?"
21,"Sau gần 2 tháng xác minh, ĐH Quốc gia TP.HCM vừa có thông báo về việc giải quyết đơn kiến nghị của 11 giảng viên khoa Hàn Quốc học của Trường ĐH Khoa học xã hội và nhân văn.

Sau gần 2 tháng xác minh, ĐH Quốc gia TP.HCM vừa có thông báo về việc giải quyết đơn kiến nghị của 11 giảng viên khoa Hàn Quốc học của Trường ĐH Khoa học xã hội và nhân văn.

CANHCO.NET
ĐH Quốc gia TP.HCM công bố xác minh vụ 11 giảng viên khoa Hàn Quốc xin nghỉ việc
Sau gần 2 tháng xác minh, ĐH Quốc gia TP.HCM vừa có thông báo về việc giải quyết đơn kiến nghị của 11 giảng viên khoa Hàn Quốc học của Trường ĐH Khoa học

CANHCO.NET
ĐH Quốc gia TP.HCM công bố xác minh vụ 11 giảng viên khoa Hàn Quốc xin nghỉ việc"
22,"Này thì chống đối, tưởng vậy là hay 🙄
Đề nghị phạt mạnh tay để làm gương cho những kẻ thừa tiền nhưng thiếu ý thức.

Này thì chống đối, tưởng vậy là hay 🙄

Đề nghị phạt mạnh tay để làm gương cho những kẻ thừa tiền nhưng thiếu ý thức.

CANHCO.NET
Vụ ‘tài xế xe Ferrari chống đối, lăng mạ CSGT’: Khởi tố 3 bị can
Liên quan vụ CSGT còng tay, khống chế tài xế xe Ferrari, Công an Q.8 (TP.HCM) khởi tố vụ án, khởi tố 3 bị can để điều tra về hành vi chống người thi hành

CANHCO.NET
Vụ ‘tài xế xe Ferrari chống đối, lăng mạ CSGT’: Khởi tố 3 bị can"
23,"18 GIỜ 18 PHÚT CHIỀU NAY ( 26/05/2021), VIỆT NAM SẼ ĐÓN HIỆN TƯỢNG ""SIÊU TRĂNG MÁU ẢO ẢNH"" CUỐI CÙNG TRONG NĂM. ĐỪNG BỎ LỠ!
Siêu trăng máu tháng 5 sẽ ""ưu ái"" cho các nước trong khu vực Thái Bình Dương, với… More Hawaii là nơi có tầm nhìn đẹp nhất thế giới. Vào thời điểm tiếp cận gần nhất, siêu trăng máu chỉ cách chúng ta 357.460 km.
Siêu trăng máu vốn là hiện tượng siêu trăng và nguyệt thực toàn phần. Siêu trăng xảy ra khi mặt trăng ở vị trí gần Trái Đất trên quỹ đạo đúng ngày trăng tròn, trông to hơn trăng tròn thông thường.
Việt Nam không phải vị trí quan sát thuận lợi nhất nhưng chúng ta vẫn có thể chiêm ngưỡng trăng máu trong khoảng 14 phút. Đó là vào lúc 18 giờ 11 phút đến 18 giờ 25 phút. Thời điểm siêu trăng máu đạt cực đại là 18 giờ 18 phút.
Đây là một khung giờ may mắn bởi khi siêu trăng máu xuất hiện vào thời điểm hoàng hôn, khi mặt trời vừa lặn, sẽ có hiện tượng gọi là ""ảo ảnh mặt trăng"" xuất hiện.
Để chiêm ngưỡng trăng máu lần nữa, bạn sẽ phải đợi đến tháng 5-2022.

18 GIỜ 18 PHÚT CHIỀU NAY ( 26/05/2021), VIỆT NAM SẼ ĐÓN HIỆN TƯỢNG ""SIÊU TRĂNG MÁU ẢO ẢNH"" CUỐI CÙNG TRONG NĂM. ĐỪNG BỎ LỠ!

Siêu trăng máu tháng 5 sẽ ""ưu ái"" cho các nước trong khu vực Thái Bình Dương, với Hawaii là nơi có tầm nhìn đẹp nhất thế giới. Vào thời điểm tiếp cận gần nhất, siêu trăng máu chỉ cách chúng ta 357.460 km.

Siêu trăng máu vốn là hiện tượng siêu trăng và nguyệt thực toàn phần. Siêu trăng xảy ra khi mặt trăng ở vị trí gần Trái Đất trên quỹ đạo đúng ngày trăng tròn, trông to hơn trăng tròn thông thường.

Việt Nam không phải vị trí quan sát thuận lợi nhất nhưng chúng ta vẫn có thể chiêm ngưỡng trăng máu trong khoảng 14 phút. Đó là vào lúc 18 giờ 11 phút đến 18 giờ 25 phút. Thời điểm siêu trăng máu đạt cực đại là 18 giờ 18 phút.

Đây là một khung giờ may mắn bởi khi siêu trăng máu xuất hiện vào thời điểm hoàng hôn, khi mặt trời vừa lặn, sẽ có hiện tượng gọi là ""ảo ảnh mặt trăng"" xuất hiện.

Để chiêm ngưỡng trăng máu lần nữa, bạn sẽ phải đợi đến tháng 5-2022.

"
24,"Những hình ảnh ý nghĩa 'Siêu thị 0 đồng' cứu trợ công nhân tâm dịch Bắc Giang
Với việc hàng chục nghìn công nhân đang mắc kẹt trong các khu nhà trọ vì Covid-19, Bắc Giang trong những ngày nay đang là 'điểm nóng… More' của dịch bệnh COVID-19 khi mỗi ngày, hàng trăm ca nhiễm mới liên tục được ghi nhận. Việc xuất hiện 'ổ dịch' tại các khu công nghiệp đang trở thành mối lo ngại lớn bởi khả năng và tốc độ lây lan cao.
Sau khi Bắc Giang có quyết định tạm dừng hoạt động 4 khu công nghiệp: Quang Châu, Vân Trung, Đình Trám, Song Khê Nội Hoàng và cách ly xã hội tại một số địa phương thì có hàng chục nghìn công nhân ở trọ trên địa bàn tỉnh cũng thực hiện cách ly phòng, chống dịch.
Áp lực không chỉ đè nặng… More

Những hình ảnh ý nghĩa 'Siêu thị 0 đồng' cứu trợ công nhân tâm dịch Bắc Giang

Với việc hàng chục nghìn công nhân đang mắc kẹt trong các khu nhà trọ vì Covid-19, Bắc Giang trong những ngày nay đang là 'điểm nóng' của dịch bệnh COVID-19 khi mỗi ngày, hàng trăm ca nhiễm mới liên tục được ghi nhận. Việc xuất hiện 'ổ dịch' tại các khu công nghiệp đang trở thành mối lo ngại lớn bởi khả năng và tốc độ lây lan cao.

Sau khi Bắc Giang có quyết định tạm dừng hoạt động 4 khu công nghiệp: Quang Châu, Vân Trung, Đình Trám, Song Khê Nội Hoàng và cách ly xã hội tại một số địa phương thì có hàng chục nghìn công nhân ở trọ trên địa bàn tỉnh cũng thực hiện cách ly phòng, chống dịch.

Áp lực không chỉ đè nặng…

+23"
25,"HOÀN THÀNH BIỆN VIỆN DÃ CHIẾN 620 GIƯỜNG TẠI BẮC GIANG (Mong bệnh viện này bị ế giống như bệnh viện dã chiến Đà Nẵng ở sân Tiên Sơn)
Trước diễn biến phức tạp của dịch COVID-19 với số ca mắc tăng nhanh, tỉnh Bắc… More Giang đã sớm hoàn thành bệnh viện dã chiến tại Nhà thi đấu thể thao tỉnh với quy mô 620 giường.
Cơ sở này có chức năng cách ly, chăm sóc, điều trị và cấp cứu bệnh nhân Covid-19. Các phòng bệnh nhân tại đây được bố trí bằng vách ngăn, theo nguyên tắc một chiều, tách biệt, phòng chống lây nhiễm chéo.
Mỗi khoang bố trí 4 giường gấp chuyên dụng, cách nhau 2 m và 2 quạt điện. Các bệnh nhân dương tính thể nhẹ sẽ được chăm sóc tại đây.
Bên ngoài phòng bệnh có đặt nhiều bình cứu hoả để đề… More

HOÀN THÀNH BIỆN VIỆN DÃ CHIẾN 620 GIƯỜNG TẠI BẮC GIANG (Mong bệnh viện này bị ế giống như bệnh viện dã chiến Đà Nẵng ở sân Tiên Sơn)

Trước diễn biến phức tạp của dịch COVID-19 với số ca mắc tăng nhanh, tỉnh Bắc Giang đã sớm hoàn thành bệnh viện dã chiến tại Nhà thi đấu thể thao tỉnh với quy mô 620 giường.

Cơ sở này có chức năng cách ly, chăm sóc, điều trị và cấp cứu bệnh nhân Covid-19. Các phòng bệnh nhân tại đây được bố trí bằng vách ngăn, theo nguyên tắc một chiều, tách biệt, phòng chống lây nhiễm chéo.

Mỗi khoang bố trí 4 giường gấp chuyên dụng, cách nhau 2 m và 2 quạt điện. Các bệnh nhân dương tính thể nhẹ sẽ được chăm sóc tại đây.

Bên ngoài phòng bệnh có đặt nhiều bình cứu hoả để đề…

+17"
